Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __main__.py:99(round_sig)
        1    0.000    0.000    0.000    0.000 __main__.py:251(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:65(__init__)
        2    0.000    0.000    0.001    0.001 __main__.py:288(send_to_worker)
        2    0.000    0.000    0.000    0.000 gzip.py:221(_write_gzip_header)
        2    0.000    0.000    0.006    0.003 context.py:274(_Popen)
      217    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       11    0.000    0.000    0.001    0.000 tempfile.py:160(<listcomp>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
       12    0.000    0.000   46.209    3.851 connection.py:374(_recv)
      103    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.049    0.049 hashlib.py:54(<module>)
        1    0.000    0.000    0.005    0.005 type_check.py:3(<module>)
        2    0.000    0.000    0.006    0.003 context.py:221(_Popen)
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
      180    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       30    0.000    0.000    0.000    0.000 os.py:742(encode)
        1    0.000    0.000    0.012    0.012 pickle.py:24(<module>)
       97    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        2    0.000    0.000    0.007    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.097    0.097 __init__.py:124(<module>)
        1    0.000    0.000    0.013    0.013 secrets.py:7(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:368(<dictcomp>)
       41    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 subprocess.py:1368(_handle_exitstatus)
       13    0.000    0.000    0.000    0.000 argparse.py:1444(_get_optional_kwargs)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       40    0.000    0.000    0.022    0.001 re.py:231(compile)
        4    0.000    0.000    0.000    0.000 random.py:96(seed)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
      482    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
      201    0.000    0.000    0.000    0.000 typing.py:1096(__hash__)
      218    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:951(StreamHandler)
       32    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        3    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
        6    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
        3    0.000    0.000    0.000    0.000 __init__.py:497(formatTime)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        7    0.000    0.000    0.006    0.001 enum.py:604(_convert)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       73    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
      225    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
       13    0.000    0.000    0.000    0.000 argparse.py:1364(_add_action)
        1    0.000    0.000    0.001    0.001 argparse.py:1775(_parse_known_args)
       10    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      164    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.044    0.044 context.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       79    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       37    0.000    0.000    0.000    0.000 typing.py:168(__new__)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.048    0.048 index_tricks.py:1(<module>)
       45    0.000    0.000    0.000    0.000 argparse.py:1278(register)
       44    0.000    0.000    0.001    0.000 core.py:138(get_object_signature)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      224    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       48    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        7    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
       52    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       82    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
      133    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       15    0.000    0.000    0.002    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.005    0.005 tempfile.py:291(gettempdir)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 connection.py:10(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
        4    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
  114/113    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.037    0.037 reduction.py:10(<module>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       52    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        6    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.006    0.006 _pocketfft.py:29(<module>)
       94    0.000    0.000    0.000    0.000 typing.py:1039(_abc_negative_cache_version)
        3    0.000    0.000    0.001    0.000 __init__.py:829(format)
        1    0.000    0.000    0.094    0.094 _pickle.py:1(<module>)
        1    0.000    0.000    0.017    0.017 case.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
        2    0.000    0.000    0.004    0.002 popen_fork.py:16(__init__)
        1    0.000    0.000    0.023    0.023 adapters.py:6(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:157(<lambda>)
        3    0.000    0.000    0.002    0.001 __init__.py:852(handle)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        1    0.000    0.000    0.021    0.021 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
      111    0.000    0.000    0.000    0.000 typing.py:1107(<genexpr>)
        6    0.000    0.000   46.209    7.702 connection.py:406(_recv_bytes)
        7    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 __main__.py:354(__init__)
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      263    0.000    0.000    0.000    0.000 typing.py:975(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:1014(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:1822(take_action)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       65    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        1    0.000    0.000    0.007    0.007 subprocess.py:392(run)
        1    0.000    0.000    0.027    0.027 defmatrix.py:1(<module>)
        1    0.000    0.000    0.050    0.050 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:1047(_get_type_vars)
        1    0.000    0.000    0.090    0.090 tempfile.py:24(<module>)
        3    0.000    0.000    0.003    0.001 __init__.py:1298(info)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.008    0.008 polynomial.py:74(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.017    0.017 financial.py:12(<module>)
        2    0.000    0.000    0.071    0.036 __init__.py:15(<module>)
       21    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
        1    0.000    0.000    0.016    0.016 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        6    0.000    0.000    0.002    0.000 typing.py:1248(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
        1    0.000    0.000    0.003    0.003 argparse.py:1604(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:202(send)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        9    0.000    0.000    0.000    0.000 typing.py:498(__init__)
       35    0.000    0.000    0.000    0.000 typing.py:654(_check_generic)
        1    0.000    0.000    0.001    0.001 tempfile.py:251(_mkstemp_inner)
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       49    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       65    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        1    0.000    0.000    0.040    0.040 overrides.py:1(<module>)
        2    0.000    0.000    0.002    0.001 queues.py:155(_start_thread)
       50    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      168    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       49    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       74    0.000    0.000    0.000    0.000 types.py:135(__get__)
       15    0.000    0.000    0.002    0.000 arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        3    0.000    0.000    0.004    0.001 queues.py:36(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:839(_decompose)
        5    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        4    0.000    0.000    0.005    0.001 glob.py:9(glob)
        1    0.000    0.000    0.000    0.000 getlimits.py:399(_init)
        1    0.000    0.000    0.015    0.015 queues.py:10(<module>)
        6    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
        1    0.000    0.000    0.010    0.010 lzma.py:9(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:118(__repr__)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
       14    0.000    0.000    0.001    0.000 abc.py:151(register)
        1    0.000    0.000    0.019    0.019 __init__.py:423(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1533(__init__)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.014    0.014 __init__.py:192(<module>)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.015    0.015 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       86    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
        1    0.000    0.000    0.000    0.000 polynomial.py:665(polyval)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
      104    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        8    0.000    0.000    0.001    0.000 contextlib.py:129(contextmanager)
        1    0.000    0.000    0.002    0.002 ntpath.py:6(<module>)
       18    0.000    0.000    0.000    0.000 typing.py:206(__new__)
       13    0.000    0.000    0.001    0.000 typing.py:805(_subs_tree)
        1    0.000    0.000    0.022    0.022 subprocess.py:42(<module>)
        1    0.000    0.000    0.038    0.038 modifiers.py:5(<module>)
        2    0.000    0.000    0.000    0.000 gzip.py:213(_init_write)
        6    0.000    0.000    0.000    0.000 threading.py:215(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
      364    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
        3    0.000    0.000    0.000    0.000 os.py:760(getenv)
       12    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        3    0.000    0.000    0.000    0.000 warnings.py:428(__init__)
        1    0.000    0.000    0.001    0.001 chunks.py:1(<module>)
        4    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
        6    0.000    0.000    0.000    0.000 locale.py:379(normalize)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 legendre.py:81(<module>)
        4    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
        2    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
        1    0.000    0.000    0.009    0.009 selectors.py:5(<module>)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 numeric.py:824(outer)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
        1    0.000    0.000    0.007    0.007 base64.py:3(<module>)
        6    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        8    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
      106    0.000    0.000    0.000    0.000 typing.py:651(<genexpr>)
        6    0.000    0.000    0.001    0.000 context.py:64(Lock)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.001    0.001 helper.py:4(<module>)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
        3    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        6    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
        5    0.000    0.000    0.000    0.000 random.py:87(__init__)
       78    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
       26    0.000    0.000    0.001    0.000 core.py:6750(__init__)
        2    0.000    0.000    0.000    0.000 util.py:395(_flush_std_streams)
        3    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
       32    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
        3    0.000    0.000    0.002    0.001 warnings.py:119(filterwarnings)
        3    0.000    0.000    0.000    0.000 threading.py:757(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:2244(IO)
        1    0.000    0.000    0.000    0.000 laguerre.py:77(<module>)
        5    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      111    0.000    0.000    0.000    0.000 typing.py:984(<genexpr>)
        1    0.000    0.000    0.040    0.040 __init__.py:26(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        2    0.000    0.000    0.001    0.000 gzip.py:247(write)
        1    0.000    0.000    0.001    0.001 __init__.py:1740(basicConfig)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
       12    0.000    0.000    0.000    0.000 util.py:136(register_after_fork)
        1    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        4    0.000    0.000    0.000    0.000 posixpath.py:104(split)
        1    0.000    0.000    0.037    0.037 __init__.py:539(xopen)
        5    0.000    0.000    0.000    0.000 subprocess.py:1386(_internal_poll)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        4    0.000    0.000    0.000    0.000 glob.py:145(has_magic)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.018    0.018 __init__.py:378(__init__)
        8    0.000    0.000    0.012    0.002 hashlib.py:73(__get_builtin_constructor)
        3    0.000    0.000    0.022    0.007 context.py:99(Queue)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        1    0.000    0.000    0.001    0.001 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:36(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        6    0.000    0.000    0.000    0.000 os.py:746(decode)
       12    0.000    0.000    0.000    0.000 weakref.py:339(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:345(_replace_encoding)
       11    0.000    0.000    0.001    0.000 pathlib.py:384(_wrap_strfunc)
        5    0.000    0.000    0.000    0.000 typing.py:668(_tp_cache)
        3    0.000    0.000    0.000    0.000 __init__.py:564(format)
        1    0.000    0.000    0.001    0.001 py3k.py:12(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.001    0.000 connection.py:390(_send_bytes)
       97    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        4    0.000    0.000    0.000    0.000 enum.py:767(_create_pseudo_member_)
        3    0.000    0.000    0.000    0.000 warnings.py:143(simplefilter)
       16    0.000    0.000    0.000    0.000 typing.py:1145(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 chunks.py:24(_fastq_head)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:67(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.022    0.022 __init__.py:71(<module>)
        4    0.000    0.000    0.001    0.000 core.py:115(doc_note)
       65    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       18    0.000    0.000    0.000    0.000 os.py:794(fsencode)
      107    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        6    0.000    0.000    0.000    0.000 process.py:83(<genexpr>)
        1    0.000    0.000    0.001    0.001 argparse.py:1740(parse_known_args)
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 twodim_base.py:473(vander)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        6    0.000    0.000   46.209    7.702 connection.py:208(recv_bytes)
       12    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        6    0.000    0.000    0.000    0.000 gzip.py:64(write32u)
        2    0.000    0.000    0.002    0.001 threading.py:263(wait)
        1    0.000    0.000    0.000    0.000 __main__.py:836(check_enough_space)
        8    0.000    0.000    0.000    0.000 typing.py:222(__init__)
       51    0.000    0.000    0.000    0.000 typing.py:800(<genexpr>)
        1    0.000    0.000    0.000    0.000 adapters.py:315(Adapter)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.009    0.009 main.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.026    0.026 bz2.py:5(<module>)
        7    0.000    0.000    0.001    0.000 typing.py:843(__getitem__)
        5    0.000    0.000    0.000    0.000 argparse.py:2234(_get_values)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        9    0.000    0.000    0.001    0.000 synchronize.py:114(_make_name)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        4    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
        8    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        1    0.000    0.000    0.018    0.018 gzip.py:4(<module>)
        3    0.000    0.000    0.002    0.001 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.003    0.003 readers.py:3(<module>)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
       13    0.000    0.000    0.000    0.000 argparse.py:793(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.002    0.002 core.py:6439(__new__)
        1    0.000    0.000    0.006    0.006 result.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        3    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       84    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        3    0.000    0.000    0.000    0.000 __init__.py:308(close)
        1    0.000    0.000    0.000    0.000 pathlib.py:602(PurePath)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        2    0.000    0.000    0.000    0.000 process.py:52(_cleanup)
        1    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.001    0.001 pathlib.py:382(_NormalAccessor)
        1    0.000    0.000    0.001    0.001 argparse.py:157(__init__)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 getlimits.py:366(__new__)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
       58    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:148(PipedCompressionWriter)
        3    0.000    0.000    0.001    0.000 __init__.py:349(readinto)
        2    0.000    0.000    0.000    0.000 pathlib.py:631(_parse_args)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
        1    0.000    0.000    0.000    0.000 main.py:49(TestProgram)
        3    0.000    0.000    0.000    0.000 queues.py:67(_after_fork)
        6    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
       47    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 sre_parse.py:784(_parse_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:89(_set_pipe_size_to_max)
       52    0.000    0.000    0.000    0.000 typing.py:256(__hash__)
       88    0.000    0.000    0.000    0.000 typing.py:931(<genexpr>)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        5    0.000    0.000    0.001    0.000 argparse.py:1843(consume_optional)
        1    0.000    0.000    0.000    0.000 numerictypes.py:412(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_types)
       71    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
        2    0.000    0.000    0.000    0.000 gzip.py:302(close)
        1    0.000    0.000    0.003    0.003 __main__.py:811(clean_files)
        3    0.000    0.000    0.001    0.000 __init__.py:971(flush)
        1    0.000    0.000    0.000    0.000 __init__.py:1590(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 linalg.py:73(_determine_error_states)
        1    0.000    0.000    0.000    0.000 <string>:5(interface)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
        1    0.000    0.000    0.000    0.000 {built-in method posix.statvfs}
        4    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        4    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       25    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
        1    0.000    0.000    0.001    0.001 writers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:345(_Pickler)
        3    0.000    0.000    0.003    0.001 __init__.py:1894(info)
        1    0.000    0.000    0.051    0.051 __init__.py:260(_mac_os_check)
        1    0.000    0.000    0.012    0.012 decimal.py:2(<module>)
        1    0.000    0.000    0.004    0.004 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
       42    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       30    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       11    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        5    0.000    0.000    0.000    0.000 context.py:232(get_context)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        3    0.000    0.000    0.002    0.001 __init__.py:982(emit)
        1    0.000    0.000    0.000    0.000 argparse.py:580(_format_args)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        2    0.000    0.000    0.002    0.001 queues.py:80(put)
        2    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
        2    0.000    0.000    0.000    0.000 pathlib.py:998(__new__)
       40    0.000    0.000    0.000    0.000 typing.py:822(__hash__)
        1    0.000    0.000    0.005    0.005 tempfile.py:118(_sanitize_params)
