Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.002    0.002 readers.py:15(BinaryFileReader)
      316    0.001    0.000    0.040    0.000 overrides.py:166(decorator)
      519    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method posix.unlink}
       13    0.001    0.000    0.015    0.001 __init__.py:357(namedtuple)
      204    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
      163    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1568    0.001    0.000    0.002    0.000 enum.py:517(__new__)
        8    0.001    0.000    0.003    0.000 enum.py:124(__new__)
      616    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
     1575    0.001    0.000    0.007    0.000 enum.py:267(__call__)
      209    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.001    0.001    0.001    0.001 typing.py:686(_Union)
      532    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     2156    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      299    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
     1801    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      899    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1376    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
     2767    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        2    0.001    0.001    0.001    0.001 {method 'reduce' of 'numpy.ufunc' objects}
      204    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
  387/197    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
      304    0.001    0.000    0.001    0.000 glob.py:114(_iterdir)
        2    0.001    0.000    0.004    0.002 popen_fork.py:63(_launch)
      157    0.001    0.000    0.024    0.000 re.py:286(_compile)
  209/207    0.001    0.000    0.291    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      324    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      204    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
3910/3797    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       48    0.001    0.000    0.011    0.000 typing.py:1099(__getitem__)
     4654    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      486    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       20    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1121    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
      163    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      274    0.001    0.000    0.010    0.000 function_base.py:451(add_newdoc)
        1    0.001    0.001    0.019    0.019 __init__.py:102(_can_read_concatenated_gz)
      431    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      287    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        2    0.001    0.000    0.001    0.000 {method 'compress' of 'zlib.Compress' objects}
   331/16    0.001    0.000    0.619    0.039 {built-in method builtins.__import__}
      165    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
     1012    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      376    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      367    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      223    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
   109/41    0.001    0.000    0.009    0.000 sre_parse.py:407(_parse_sub)
        3    0.001    0.000    0.001    0.000 {method 'readinto' of '_io.BufferedReader' objects}
   311/12    0.001    0.000    1.850    0.154 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.001    0.001    0.018    0.018 __init__.py:253(__init__)
        1    0.001    0.001   46.359   46.359 __main__.py:879(main)
     1423    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       41    0.001    0.000    0.023    0.001 sre_compile.py:557(compile)
